Time_Step,Vehicles_in_CBD,Current_Toll_Fee,CBD_Avg_Speed_mps,Global_Avg_Speed_mps,Total_Revenue,Detoured_Vehicles
0,1,0.0,0.0,0.0,0.0,0
10,1,0.0,14.61,9.59,0.0,0
20,3,0.0,9.87,11.05,0.0,0
30,5,0.0,9.91,10.71,0.0,0
40,5,0.0,13.35,11.35,0.0,0
50,7,0.0,13.03,11.81,0.0,0
60,7,0.0,12.6,11.49,0.0,0
70,7,0.0,13.11,11.62,0.0,0
80,11,0.0,12.95,11.89,0.0,0
90,12,0.0,12.91,12.21,0.0,0
100,14,0.0,12.13,12.4,0.0,0
110,14,0.0,12.38,12.1,0.0,0
120,16,0.0,13.28,12.2,0.0,0
130,18,0.0,12.54,12.25,0.0,0
140,18,0.0,12.25,12.4,0.0,0
150,21,0.0,12.93,12.4,0.0,0
160,18,0.0,12.23,12.22,0.0,0
170,21,0.0,12.3,12.28,0.0,0
180,21,0.0,13.09,12.8,0.0,0
190,21,0.0,13.08,12.54,0.0,0
200,22,0.0,12.49,12.56,0.0,0
210,23,0.0,12.81,12.29,0.0,0
220,25,0.0,12.9,12.53,0.0,0
230,28,0.0,13.06,12.57,0.0,0
240,29,0.0,13.15,12.57,0.0,0
250,32,0.0,12.18,12.45,0.0,0
260,33,0.0,12.85,12.46,0.0,0
270,34,0.0,12.89,12.26,0.0,0
280,31,0.0,13.29,12.81,0.0,0
290,31,0.0,12.9,12.23,0.0,0
300,32,0.0,12.26,12.52,0.0,0
310,32,0.0,13.12,12.74,0.0,0
320,33,0.0,12.04,12.07,0.0,0
330,34,0.0,12.54,12.21,0.0,0
340,35,0.0,12.07,12.39,0.0,0
350,33,0.0,12.63,12.77,0.0,0
360,33,0.0,12.17,12.29,0.0,0
370,38,0.0,12.72,12.53,0.0,0
380,38,0.0,12.84,12.58,0.0,0
390,36,0.0,12.26,12.34,0.0,0
400,37,0.0,12.9,12.71,0.0,0
410,35,0.0,13.45,12.56,0.0,0
420,34,0.0,12.76,12.41,0.0,0
430,33,0.0,12.73,12.68,0.0,0
440,35,0.0,12.57,12.57,0.0,0
450,34,0.0,12.93,12.24,0.0,0
460,33,0.0,12.69,12.79,0.0,0
470,34,0.0,11.99,12.53,0.0,0
480,34,0.0,13.03,12.47,0.0,0
490,26,0.0,12.21,12.51,0.0,0
500,27,0.0,11.95,12.56,0.0,0
510,30,0.0,12.77,12.64,0.0,0
520,31,0.0,12.62,12.37,0.0,0
530,29,0.0,11.84,12.56,0.0,0
540,31,0.0,11.7,12.35,0.0,0
550,31,0.0,12.3,12.3,0.0,0
560,30,0.0,12.17,12.69,0.0,0
570,32,0.0,11.57,12.45,0.0,0
580,33,0.0,12.26,12.36,0.0,0
590,35,0.0,12.48,12.66,0.0,0
600,36,0.0,12.41,12.33,0.0,0
610,37,0.0,12.4,12.43,0.0,0
620,36,0.0,12.22,12.49,0.0,0
630,34,0.0,12.3,12.84,0.0,0
640,34,0.0,11.47,12.33,0.0,0
650,33,0.0,12.71,12.77,0.0,0
660,34,0.0,12.59,12.6,0.0,0
670,34,0.0,11.74,12.47,0.0,0
680,36,0.0,13.08,12.68,0.0,0
690,39,0.0,12.99,12.53,0.0,0
700,35,0.0,11.8,12.44,0.0,0
710,34,0.0,11.84,12.54,0.0,0
720,33,0.0,12.41,12.43,0.0,0
730,33,0.0,12.42,12.44,0.0,0
740,33,0.0,12.04,12.18,0.0,0
750,34,0.0,12.99,12.42,0.0,0
760,36,0.0,11.8,12.34,0.0,0
770,33,0.0,12.75,12.32,0.0,0
780,29,0.0,12.59,12.51,0.0,0
790,29,0.0,12.23,12.18,0.0,0
800,29,0.0,13.39,12.44,0.0,0
810,28,0.0,12.97,12.17,0.0,0
820,28,0.0,12.3,12.15,0.0,0
830,28,0.0,13.23,12.65,0.0,0
840,25,0.0,13.51,12.53,0.0,0
850,26,0.0,11.6,11.83,0.0,0
860,26,0.0,13.27,12.47,0.0,0
870,27,0.0,13.0,12.48,0.0,0
880,27,0.0,12.39,12.09,0.0,0
890,28,0.0,12.05,11.93,0.0,0
900,31,0.0,12.24,12.68,0.0,0
910,32,0.0,12.91,12.44,0.0,0
920,32,0.0,12.64,12.19,0.0,0
930,34,0.0,12.35,12.62,0.0,0
940,36,0.0,12.62,12.82,0.0,0
950,36,0.0,12.41,12.06,0.0,0
960,37,0.0,12.8,12.45,0.0,0
970,37,0.0,12.56,12.64,0.0,0
980,37,0.0,12.45,12.52,0.0,0
990,38,0.0,12.94,12.63,0.0,0
1000,38,0.0,11.98,12.53,0.0,0
1010,37,0.0,11.58,12.14,0.0,0
1020,37,0.0,12.59,12.73,0.0,0
1030,35,0.0,11.84,12.53,0.0,0
1040,36,0.0,12.2,12.52,0.0,0
1050,36,0.0,11.83,12.25,0.0,0
1060,33,0.0,12.31,12.78,0.0,0
1070,33,0.0,11.96,12.54,0.0,0
1080,36,0.0,11.69,12.09,0.0,0
1090,37,0.0,11.78,12.54,0.0,0
1100,41,0.0,11.95,12.63,0.0,0
1110,41,0.0,11.96,12.43,0.0,0
1120,41,0.0,12.45,12.68,0.0,0
1130,41,0.0,11.72,12.53,0.0,0
1140,42,0.0,12.51,12.32,0.0,0
1150,38,0.0,12.22,12.49,0.0,0
1160,40,0.0,12.67,12.81,0.0,0
1170,41,0.0,11.67,12.26,0.0,0
1180,39,0.0,11.88,11.86,0.0,0
1190,38,0.0,12.55,12.41,0.0,0
1200,39,0.0,12.31,12.57,0.0,0
1210,40,0.0,12.14,12.31,0.0,0
1220,40,0.0,12.96,12.41,0.0,0
1230,42,0.0,12.86,12.78,0.0,0
1240,39,0.0,12.07,12.45,0.0,0
1250,39,0.0,12.25,12.41,0.0,0
1260,40,0.0,12.74,12.44,0.0,0
1270,41,0.0,12.99,12.52,0.0,0
1280,41,0.0,12.09,12.22,0.0,0
1290,40,0.0,13.06,12.61,0.0,0
1300,42,0.0,12.48,12.33,0.0,0
1310,42,0.0,12.14,12.32,0.0,0
1320,39,0.0,12.43,12.4,0.0,0
1330,37,0.0,11.51,12.28,0.0,0
1340,34,0.0,12.51,12.56,0.0,0
1350,35,0.0,13.02,12.37,0.0,0
1360,33,0.0,12.05,12.37,0.0,0
1370,33,0.0,12.77,12.77,0.0,0
1380,33,0.0,12.34,12.38,0.0,0
1390,35,0.0,10.59,11.77,0.0,0
1400,31,0.0,12.87,12.5,0.0,0
1410,30,0.0,12.62,12.59,0.0,0
1420,29,0.0,11.9,12.51,0.0,0
1430,32,0.0,12.36,12.53,0.0,0
1440,36,0.0,12.3,12.65,0.0,0
1450,40,0.0,12.15,12.26,0.0,0
1460,41,0.0,12.08,12.34,0.0,0
1470,44,0.0,11.73,12.05,0.0,0
1480,43,0.0,12.88,12.63,0.0,0
1490,45,0.0,11.61,12.01,0.0,0
1500,45,0.0,11.38,11.95,0.0,0
1510,45,0.0,12.11,12.44,0.0,0
1520,48,0.0,12.63,12.63,0.0,0
1530,45,0.0,11.68,11.63,0.0,0
1540,44,0.0,12.15,12.37,0.0,0
1550,46,0.0,12.19,12.48,0.0,0
1560,47,0.0,11.86,12.01,0.0,0
1570,48,0.0,12.32,12.62,0.0,0
1580,50,0.0,12.61,12.61,0.0,0
1590,48,0.0,12.38,12.33,0.0,0
1600,45,0.0,12.41,12.38,0.0,0
1610,44,0.0,12.18,12.2,0.0,0
1620,44,0.0,11.79,12.05,0.0,0
1630,40,0.0,12.62,12.54,0.0,0
1640,39,0.0,12.4,12.61,0.0,0
1650,39,0.0,11.78,12.34,0.0,0
1660,38,0.0,12.55,12.19,0.0,0
1670,38,0.0,12.2,12.37,0.0,0
1680,36,0.0,12.12,12.37,0.0,0
1690,34,0.0,12.4,12.56,0.0,0
1700,38,0.0,11.61,12.33,0.0,0
1710,43,0.0,12.23,12.56,0.0,0
1720,42,0.0,12.42,12.34,0.0,0
1730,43,0.0,12.38,12.39,0.0,0
1740,36,0.0,12.25,12.62,0.0,0
1750,33,0.0,12.37,12.41,0.0,0
1760,32,0.0,13.16,12.95,0.0,0
1770,33,0.0,12.4,12.76,0.0,0
1780,34,0.0,13.0,12.57,0.0,0
1790,32,0.0,12.8,12.65,0.0,0
1800,33,0.0,12.27,12.24,0.0,0
1810,36,0.0,11.74,12.31,0.0,0
1820,38,0.0,11.86,12.41,0.0,0
1830,38,0.0,12.63,12.71,0.0,0
1840,37,0.0,12.02,12.59,0.0,0
1850,39,0.0,12.17,12.53,0.0,0
1860,41,0.0,12.32,12.47,0.0,0
1870,45,0.0,12.08,12.31,0.0,0
1880,41,0.0,12.79,12.61,0.0,0
1890,39,0.0,12.33,12.64,0.0,0
1900,41,0.0,12.29,12.56,0.0,0
1910,36,0.0,11.86,12.26,0.0,0
1920,41,0.0,11.97,12.3,0.0,0
1930,39,0.0,12.55,12.8,0.0,0
1940,40,0.0,12.2,12.64,0.0,0
1950,39,0.0,11.62,12.22,0.0,0
1960,39,0.0,13.13,12.78,0.0,0
1970,37,0.0,11.82,12.17,0.0,0
1980,38,0.0,13.21,12.57,0.0,0
1990,33,0.0,13.01,12.5,0.0,0
2000,32,0.0,12.04,12.16,0.0,0
2010,31,0.0,12.5,12.46,0.0,0
2020,30,0.0,12.99,12.37,0.0,0
2030,33,0.0,12.69,12.61,0.0,0
2040,32,0.0,12.54,12.54,0.0,0
