Time_Step,Vehicles_in_CBD,Current_Toll_Fee,CBD_Avg_Speed_mps,Global_Avg_Speed_mps,Total_Revenue,Detoured_Vehicles
0,1,2.07,0.0,0.0,0.0,0
10,1,2.07,14.61,9.59,0.0,0
20,3,2.1,9.87,11.05,0.0,0
30,5,2.14,9.91,10.71,0.0,0
40,5,2.14,13.35,11.35,0.0,0
50,7,2.21,13.03,11.81,1.09,0
60,7,2.21,12.6,11.49,2.19,1
70,7,2.21,13.11,11.62,4.41,2
80,11,2.46,12.95,11.89,8.02,2
90,12,2.55,12.91,12.21,9.29,2
100,14,2.8,12.13,12.4,10.57,2
110,14,2.8,12.35,12.16,13.37,3
120,16,3.13,13.27,12.19,22.77,3
130,17,3.34,12.5,12.17,24.34,4
140,17,3.34,12.09,12.37,31.03,4
150,19,3.85,12.93,12.24,38.73,5
160,17,3.34,12.16,12.24,49.03,6
170,20,4.15,12.3,12.23,52.78,6
180,19,3.85,13.13,12.61,61.26,7
190,19,3.85,12.91,12.39,70.62,8
200,18,3.58,12.6,12.41,74.22,10
210,18,3.58,12.75,12.4,88.19,10
220,19,3.85,12.96,12.61,90.12,10
230,21,4.48,12.86,12.61,101.15,13
240,22,4.83,13.1,12.55,110.82,14
250,23,5.21,11.59,12.22,123.85,16
260,26,6.4,12.8,12.39,132.85,17
270,27,6.79,13.24,12.32,153.21,18
280,24,5.6,12.56,12.56,163.19,18
290,24,5.6,12.93,12.4,171.2,19
300,25,6.0,12.09,12.23,194.8,22
310,24,5.6,13.06,12.57,214.21,23
320,24,5.6,11.39,12.02,219.23,24
330,22,4.83,12.24,12.06,224.26,25
340,24,5.6,12.35,12.59,244.93,26
350,23,5.21,12.15,12.48,252.94,27
360,22,4.83,13.08,12.39,262.79,28
370,27,6.79,12.34,12.48,283.2,29
380,27,6.79,13.47,12.78,304.5,30
390,24,5.6,12.84,12.29,310.9,33
400,25,6.0,12.04,12.27,327.9,35
410,22,4.83,13.02,12.63,343.74,37
420,20,4.15,13.34,12.55,357.72,37
430,18,3.58,12.52,12.67,361.59,37
440,19,3.85,13.27,12.7,368.89,37
450,19,3.85,13.02,12.22,382.82,38
460,19,3.85,12.67,12.51,386.69,39
470,20,4.15,11.82,12.46,390.84,40
480,20,4.15,13.12,12.25,397.07,40
490,17,3.34,12.59,12.52,407.34,41
500,18,3.58,11.31,12.31,414.5,42
510,22,4.83,12.7,12.71,418.5,43
520,23,5.21,12.42,12.41,426.51,44
530,21,4.48,12.91,12.81,431.54,44
540,24,5.6,11.46,12.47,445.51,45
550,25,6.0,12.8,12.64,460.31,47
560,22,4.83,12.24,12.65,469.98,50
570,23,5.21,11.78,12.26,477.06,52
580,24,5.6,12.14,12.74,490.09,54
590,25,6.0,12.84,12.47,504.69,55
600,23,5.21,12.28,12.03,519.89,56
610,22,4.83,11.19,12.21,530.32,56
620,20,4.15,11.61,12.45,538.02,56
630,20,4.15,11.18,12.52,546.33,56
640,20,4.15,10.69,12.34,556.11,56
650,20,4.15,12.6,12.55,562.33,56
660,22,4.83,12.19,12.16,573.37,57
670,23,5.21,12.24,12.51,580.63,59
680,26,6.4,13.06,12.76,592.43,59
690,26,6.4,13.26,12.27,615.6,60
700,22,4.83,12.2,12.39,626.62,62
710,23,5.21,12.11,12.58,635.94,63
720,20,4.15,12.87,12.33,652.89,64
730,22,4.83,12.49,12.25,655.13,65
740,22,4.83,12.86,12.39,662.03,65
750,24,5.6,12.84,12.25,681.25,66
760,25,6.0,12.33,12.57,693.64,66
770,25,6.0,12.67,12.3,705.04,66
780,22,4.83,11.68,12.17,718.27,67
790,24,5.6,12.64,12.36,735.27,69
800,22,4.83,13.56,12.47,748.12,72
810,23,5.21,13.24,12.19,755.93,73
820,22,4.83,12.78,11.99,768.6,74
830,20,4.15,12.91,12.47,777.42,75
840,21,4.48,12.82,12.36,786.4,79
850,23,5.21,11.3,11.76,794.21,80
860,20,4.15,12.45,12.0,804.92,81
870,18,3.58,12.86,12.43,812.22,82
880,17,3.34,11.84,12.43,817.47,83
890,16,3.13,12.63,12.36,824.16,83
900,20,4.15,11.58,12.7,831.75,84
910,18,3.58,12.63,12.36,835.9,85
920,19,3.85,12.05,11.94,841.41,86
930,20,4.15,11.96,12.48,852.96,87
940,21,4.48,11.63,12.4,861.76,87
950,21,4.48,11.84,11.71,869.02,87
960,24,5.6,12.71,12.48,877.23,88
970,25,6.0,12.17,12.64,895.03,88
980,25,6.0,11.83,12.21,909.63,88
990,26,6.4,12.77,12.33,918.83,89
1000,29,7.52,11.53,12.38,939.94,90
1010,29,7.52,11.4,11.97,966.59,93
1020,31,8.15,12.46,12.48,982.72,94
1030,29,7.52,11.62,12.5,1009.99,96
1040,29,7.52,12.22,12.4,1024.68,98
1050,26,6.4,11.81,12.34,1045.19,99
1060,27,6.79,11.52,12.47,1061.38,104
1070,27,6.79,11.87,12.54,1071.37,104
1080,27,6.79,12.05,12.28,1110.01,106
1090,27,6.79,12.16,12.52,1120.39,107
1100,28,7.17,11.96,12.63,1140.94,108
1110,29,7.52,11.91,12.64,1162.97,109
1120,29,7.52,11.74,12.39,1185.53,111
1130,26,6.4,12.12,12.55,1203.93,112
1140,27,6.79,12.27,12.53,1227.87,115
1150,23,5.21,12.65,12.43,1241.89,115
1160,21,4.48,12.71,12.49,1246.72,115
1170,19,3.85,12.09,12.52,1262.09,115
1180,20,4.15,12.4,12.54,1269.81,116
1190,21,4.48,12.11,12.22,1282.44,118
1200,23,5.21,12.16,12.65,1291.96,119
1210,22,4.83,11.87,12.31,1294.56,121
1220,22,4.83,13.22,12.59,1311.86,121
1230,22,4.83,12.25,12.41,1318.59,121
1240,20,4.15,11.14,12.29,1324.98,122
1250,23,5.21,12.36,12.56,1337.45,124
1260,25,6.0,12.44,11.98,1349.25,126
1270,24,5.6,12.17,12.29,1361.85,130
1280,25,6.0,11.87,12.41,1373.45,131
1290,24,5.6,12.79,12.22,1393.45,132
1300,27,6.79,12.6,12.26,1415.44,135
1310,28,7.17,11.67,12.32,1428.82,136
1320,27,6.79,13.25,12.52,1446.16,137
1330,24,5.6,11.33,12.18,1467.55,139
1340,23,5.21,12.37,12.28,1481.17,141
1350,22,4.83,13.38,12.44,1488.79,142
1360,23,5.21,11.44,12.37,1496.23,143
1370,22,4.83,12.54,12.31,1510.93,145
1380,20,4.15,12.87,12.39,1522.32,149
1390,21,4.48,10.86,12.01,1530.62,149
1400,18,3.58,12.46,12.17,1536.41,152
1410,19,3.85,12.06,12.28,1545.37,153
1420,18,3.58,11.3,12.25,1550.88,153
1430,17,3.34,11.6,12.14,1554.34,154
1440,20,4.15,12.22,12.57,1556.27,155
1450,25,6.0,11.84,12.11,1578.13,157
1460,25,6.0,11.28,12.27,1581.13,160
1470,32,8.42,11.41,12.36,1599.72,161
1480,30,7.85,12.38,12.23,1616.0,162
1490,28,7.17,11.59,12.41,1637.65,163
1500,29,7.52,11.62,12.32,1651.61,166
1510,31,8.15,11.84,12.14,1680.56,167
1520,32,8.42,12.75,12.32,1709.22,169
1530,29,7.52,12.11,12.31,1737.57,171
1540,28,7.17,11.31,12.31,1758.46,174
1550,28,7.17,12.27,12.37,1779.58,177
1560,31,8.15,11.7,11.96,1803.55,178
1570,33,8.66,12.12,12.54,1820.7,182
1580,34,8.87,12.59,12.54,1851.31,184
1590,31,8.15,12.59,12.4,1877.19,184
1600,28,7.17,12.27,12.34,1898.86,185
1610,24,5.6,11.63,12.06,1922.57,186
1620,22,4.83,11.45,12.11,1936.0,188
1630,21,4.48,12.28,12.29,1949.79,189
1640,20,4.15,12.02,12.34,1956.02,189
