Time_Step,Vehicles_in_CBD,Current_Toll_Fee,CBD_Avg_Speed_mps,Global_Avg_Speed_mps,Total_Revenue,Detoured_Vehicles
0,1,2.07,0.0,0.0,0.0,0
10,1,2.07,14.61,9.59,0.0,0
20,3,2.1,9.87,11.05,0.0,2
30,5,2.14,9.91,10.71,0.0,2
40,5,2.14,13.35,11.4,0.0,2
50,6,2.18,12.84,11.83,1.07,2
60,6,2.18,12.23,11.44,2.16,3
70,6,2.18,12.95,11.31,4.33,4
80,10,2.38,12.78,11.92,6.68,5
90,11,2.46,12.74,12.18,7.91,9
100,13,2.67,11.94,12.24,9.14,9
110,13,2.67,12.18,12.13,11.8,9
120,14,2.8,13.23,12.23,18.8,9
130,16,3.13,12.36,12.21,20.2,10
140,16,3.13,12.42,12.6,26.47,10
150,19,3.85,12.78,12.37,30.32,12
160,16,3.13,11.88,12.12,41.98,15
170,18,3.58,12.37,12.21,45.34,17
180,18,3.58,12.99,12.74,52.64,21
190,18,3.58,12.91,12.35,59.8,24
200,17,3.34,12.5,12.45,63.16,26
210,17,3.34,12.36,12.36,76.12,30
220,19,3.85,13.22,12.63,76.12,32
230,21,4.48,12.47,12.47,88.93,38
240,22,4.83,13.03,12.54,98.6,41
250,23,5.21,12.38,12.53,108.84,45
260,24,5.6,12.61,12.36,117.24,48
270,25,6.0,12.95,12.26,138.24,49
280,23,5.21,12.73,12.76,146.25,50
290,23,5.21,13.24,12.46,156.88,53
300,24,5.6,12.65,12.51,174.48,57
310,22,4.83,13.13,12.69,191.97,61
320,23,5.21,12.04,12.35,199.41,63
330,22,4.83,11.4,12.2,201.83,65
340,24,5.6,12.29,12.5,219.51,70
350,24,5.6,12.91,12.83,231.31,75
360,23,5.21,12.04,12.03,241.93,78
370,29,7.52,12.56,12.64,269.78,84
380,28,7.17,13.18,12.64,288.58,86
390,26,6.4,12.98,12.32,305.16,91
400,25,6.0,12.47,12.4,322.97,93
410,21,4.48,13.41,12.49,337.68,96
420,20,4.15,12.64,12.37,348.88,98
430,17,3.34,13.02,12.78,352.22,99
440,18,3.58,13.14,12.64,357.24,100
450,17,3.34,13.33,12.33,368.27,100
460,19,3.85,12.02,12.43,369.94,102
470,20,4.15,11.58,12.53,373.94,103
480,20,4.15,13.21,12.35,382.24,103
490,15,2.95,11.87,12.48,389.2,104
500,16,3.13,11.39,12.61,397.04,107
510,20,4.15,12.52,12.51,401.04,110
520,21,4.48,12.6,12.21,407.94,113
530,20,4.15,12.52,12.85,410.01,113
540,21,4.48,11.62,12.5,421.31,115
550,20,4.15,12.46,12.34,430.11,119
560,22,4.83,12.63,12.83,438.41,123
570,25,6.0,12.0,12.11,444.01,127
580,27,6.79,12.13,12.34,463.4,132
590,26,6.4,12.69,12.52,480.55,138
600,26,6.4,12.33,12.26,503.72,143
610,25,6.0,11.55,12.38,516.32,145
620,25,6.0,11.7,12.51,533.33,149
630,23,5.21,11.31,12.41,543.77,151
640,22,4.83,11.2,12.36,559.8,152
650,21,4.48,12.94,12.88,564.28,153
660,23,5.21,12.77,12.48,574.15,158
670,24,5.6,11.9,12.5,584.96,160
680,25,6.0,12.97,12.55,602.76,163
690,25,6.0,13.05,12.44,617.56,165
700,21,4.48,12.45,12.46,625.6,170
710,22,4.83,11.79,12.71,636.65,173
720,20,4.15,12.69,12.51,651.18,174
730,21,4.48,12.07,12.33,655.5,177
740,23,5.21,12.18,12.24,662.95,179
750,22,4.83,13.1,12.47,678.21,183
760,23,5.21,12.04,12.46,688.63,185
770,23,5.21,12.11,12.06,697.95,188
780,20,4.15,11.37,12.34,704.22,190
790,21,4.48,12.07,12.3,717.84,195
800,20,4.15,12.96,12.35,722.32,199
810,21,4.48,12.24,11.99,730.8,203
820,19,3.85,12.43,12.34,736.73,205
830,18,3.58,12.49,12.4,742.0,208
840,18,3.58,12.85,12.32,745.72,212
850,19,3.85,11.09,11.89,753.28,212
860,17,3.34,13.05,12.37,761.64,214
870,18,3.58,12.83,12.64,767.02,217
880,19,3.85,12.45,12.39,774.45,220
890,20,4.15,12.97,12.3,782.92,222
900,21,4.48,12.33,12.7,785.0,223
910,23,5.21,12.33,12.28,801.58,226
920,24,5.6,12.74,11.85,809.41,233
930,24,5.6,12.61,12.63,819.83,236
940,26,6.4,12.52,12.62,838.03,243
950,25,6.0,12.63,12.13,854.8,244
960,26,6.4,12.87,12.58,874.38,249
970,21,4.48,12.38,12.59,891.94,249
980,22,4.83,12.11,12.28,901.08,251
990,22,4.83,12.76,12.24,903.49,253
1000,24,5.6,11.51,12.23,914.12,254
1010,24,5.6,11.77,12.22,936.13,256
1020,25,6.0,12.36,12.49,948.93,257
1030,23,5.21,11.07,12.2,961.96,259
1040,27,6.79,12.07,12.46,968.36,260
1050,27,6.79,11.85,12.41,985.33,263
1060,28,7.17,12.27,12.56,1002.49,269
1070,28,7.17,11.73,12.44,1020.75,273
1080,27,6.79,11.79,12.38,1062.99,279
1090,28,7.17,12.11,12.55,1076.57,280
1100,29,7.52,11.98,12.56,1091.07,283
1110,30,7.85,11.87,12.77,1114.13,285
1120,30,7.85,11.68,12.43,1141.6,288
1130,27,6.79,11.74,12.38,1164.94,292
1140,28,7.17,12.21,12.35,1186.25,297
1150,24,5.6,12.61,12.36,1198.65,299
1160,21,4.48,12.96,12.4,1206.66,301
1170,21,4.48,12.16,12.63,1220.64,302
1180,20,4.15,12.09,12.24,1228.36,304
1190,20,4.15,12.04,12.24,1237.87,307
1200,21,4.48,12.57,12.53,1246.33,310
1210,20,4.15,12.19,12.6,1253.05,312
1220,21,4.48,13.43,12.5,1264.25,316
1230,22,4.83,12.97,12.51,1275.29,318
1240,20,4.15,11.97,12.5,1279.44,318
1250,21,4.48,12.67,12.65,1287.74,321
1260,23,5.21,12.62,12.18,1295.18,323
1270,23,5.21,12.63,12.29,1318.59,328
1280,24,5.6,12.19,12.26,1321.39,331
1290,22,4.83,13.07,12.43,1341.49,337
1300,26,6.4,12.53,12.46,1355.7,341
1310,25,6.0,11.98,12.54,1367.1,344
1320,24,5.6,12.49,12.32,1378.5,346
1330,22,4.83,10.7,12.23,1389.16,348
1340,23,5.21,11.87,12.25,1402.0,350
1350,23,5.21,13.08,12.31,1419.86,353
1360,25,6.0,11.47,12.19,1427.88,357
1370,24,5.6,12.27,12.25,1433.48,361
1380,23,5.21,12.69,12.33,1451.53,366
1390,24,5.6,11.43,11.96,1464.56,368
1400,24,5.6,12.47,12.22,1475.18,372
1410,24,5.6,12.2,12.48,1488.4,374
1420,21,4.48,11.89,12.41,1495.66,375
1430,18,3.58,11.15,12.12,1499.51,377
1440,20,4.15,12.87,12.74,1505.59,379
1450,26,6.4,12.51,12.31,1524.09,384
1460,26,6.4,11.46,12.17,1530.29,388
1470,29,7.52,11.92,12.13,1543.66,390
1480,28,7.17,13.03,12.5,1562.62,392
1490,29,7.52,11.87,12.48,1580.53,396
1500,29,7.52,11.7,12.37,1598.62,402
1510,30,7.85,11.34,12.02,1623.13,404
1520,30,7.85,12.15,12.31,1654.36,407
1530,28,7.17,12.71,12.19,1673.48,412
1540,26,6.4,11.67,12.28,1692.47,416
1550,27,6.79,12.14,12.14,1708.06,418
1560,28,7.17,11.41,12.07,1728.41,421
1570,30,7.85,12.14,12.32,1739.69,426
1580,30,7.85,12.48,12.22,1760.06,430
1590,30,7.85,12.4,12.5,1792.89,433
1600,26,6.4,12.32,12.44,1809.47,435
1610,23,5.21,11.83,11.82,1831.47,439
1620,23,5.21,12.21,12.17,1847.1,443
1630,22,4.83,12.28,12.3,1859.19,443
1640,22,4.83,11.85,12.06,1870.92,444
